"MonthlyLoanPayment","mgRate","TEDRATE","Adj.Close","AmountRequested","BorrowerRate","EstimatedLoss","category1","category2","category3","category6","category7","IsBorrowerHomeowner","bankcard_utilization","credit_lines_last7_years","current_credit_lines","current_delinquencies","delinquencies_last7_years","delinquencies_over30_days","delinquencies_over60_days","prior_prosper_loans_active","income_range","income_verifiable","total_inquiries","inquiries_last6_months","prior_prosper_loans","revolving_available_percent","total_open_revolving_accounts","revolving_balance","monthly_debt","real_estate_balance","group1","scorex620","scorex650","scorex665","scorex690","scorex702","scorex724","scorex748","scorex778","dti1","dti2","dti3","dti4","default"
5.6850752471905,0.0388,0.16,7.13457205653304,9.10497985631836,0.1095,0.035,1,0,0,0,0,0,0.13,15,3,0,0,3,0,0,3,1,1,1,0,83,3,8.1763915966338,5.14166355650266,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
4.84047943420117,0.0389,0.16,7.13691274162605,8.00636756765025,0.295,0.108,0,0,1,0,0,1,0.99,19,8,0,0,0,0,0,3,1,3,1,0,8,5,10.229512549151,5.44241771052179,12.3852559498236,0,0,0,0,0,1,0,0,0,0,1,0,0,0
4.48379319982149,0.0388,0.16,7.13794591397129,7.64969262371151,0.295,0.108,0,0,0,1,0,0,0.76,43,10,0,2,3,3,0,4,1,0,0,0,36,9,9.60831079832209,6.3750248198281,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
5.55771569852142,0.0339,0.2,7.20325673694981,8.98719682066197,0.1029,0.026,1,0,0,0,0,1,0.22,14,3,0,0,0,0,1,3,1,3,1,1,81,3,8.40893960597598,5.62040086571715,9.92387824218386,0,0,0,0,0,0,0,1,0,0,0,1,0,0
5.74220158456015,0.0388,0.16,7.13794591397129,9.21034037197618,0.0765,0.013,0,0,0,0,1,1,0.51,18,8,0,0,0,0,0,6,1,1,0,1,53,5,10.8795178087611,0.693147180559945,13.0390665474801,0,0,0,0,0,0,0,0,1,1,0,0,0,0
4.3891263717891,0.0399,0.22,7.20074577727697,7.60090245954208,0.2599,0.108,0,0,0,1,0,0,0,40,9,0,0,0,0,0,4,1,1,1,0,80,3,8.14612951002541,4.62497281328427,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
5.68782245507747,0.0388,0.16,7.13794591397129,8.85366542803745,0.295,0.108,1,0,0,0,0,1,0.84,37,11,0,3,9,3,0,6,1,1,0,0,15,3,9.74893679268753,7.52994337060159,10.9475204517612,0,0,1,0,0,0,0,0,0,0,1,0,0,0
5.72247337309969,0.0388,0.16,7.13630023242392,8.85366542803745,0.322,0.142,0,0,0,0,1,1,1,23,6,0,0,1,0,0,6,1,6,0,0,7,5,11.9043930634345,7.42535788702715,12.2763726623303,0,0,0,0,0,1,0,0,0,0,1,0,0,0
5.697630255171,0.0381,0.15,7.16490596866422,8.9226582995244,0.2499,0.098,1,0,0,0,0,1,0.99,46,9,0,0,0,0,0,4,1,3,0,1,4,4,11.5825261517001,6.5792512120101,11.4947513109913,0,0,0,0,0,1,0,0,0,0,1,0,0,0
4.56497299623668,0.0389,0.16,7.13691274162605,7.69621263934641,0.322,0.142,0,1,0,0,0,0,0.77,6,5,0,0,0,0,0,4,1,6,4,0,22,1,8.47365918939251,5.55682806169954,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
5.35133667052367,0.0395,0.18,7.136992239712,8.51719319141624,0.295,0.108,1,0,0,0,0,0,0.27,12,6,1,10,5,2,0,3,1,4,4,0,77,4,8.44031214708028,6.02344759296103,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
4.11643215868611,0.0381,0.15,7.16490596866422,7.60090245954208,0.0655,0.0155,0,0,0,0,1,1,0.09,16,9,0,0,1,0,0,5,1,3,0,0,96,5,6.74641212857337,6.71052310945243,12.0990607671231,0,0,0,0,0,0,0,0,1,0,1,0,0,0
5.75681758453534,0.0389,0.18,7.13718304717831,8.9226582995244,0.295,0.108,1,0,0,0,0,1,0.64,73,7,4,27,62,28,0,6,1,2,0,0,89,7,8.53109609658523,7.21376830811864,12.4398593569429,0,0,0,1,0,0,0,0,0,0,1,0,0,0
5.5473625553849,0.0336,0.16,7.16002254061757,8.85366542803745,0.1899,0.061,1,0,0,0,0,1,0.87,20,11,0,0,0,0,0,5,1,0,0,1,9,6,10.659844246494,7.6506445514369,12.8205661532609,0,0,0,0,0,0,0,1,0,0,0,1,0,0
5.21057845224003,0.0395,0.16,7.15192428532013,8.63052187672324,0.1095,0.035,0,0,0,0,1,0,0.06,31,10,0,0,4,0,0,3,1,1,0,0,89,9,7.67182679787878,6.04500531403601,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
6.23107182445286,0.0389,0.15,7.15029351557196,9.61580548008435,0.134,0.0495,0,1,0,0,0,0,0.19,44,5,0,0,0,0,0,4,1,5,2,3,83,3,7.66762609158499,4.90527477843843,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
5.53366613030061,0.0395,0.16,7.15192428532013,8.69951474821019,0.295,0.108,1,0,0,0,0,0,0.73,30,11,0,0,0,0,0,6,1,6,0,0,26,4,10.6330389837398,7.35372233039963,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
5.09147768194036,0.0395,0.15,7.1497990709563,8.51719319141624,0.1055,0.0325,1,0,0,0,0,1,0.74,41,4,0,47,10,4,0,4,1,4,0,2,94,4,6.61606518513282,5.10594547390058,12.2628971147279,0,0,0,0,0,0,1,0,0,1,0,0,0,0
5.68782245507747,0.0395,0.16,7.15192428532013,8.85366542803745,0.295,0.108,1,0,0,0,0,0,0.64,35,16,0,0,0,0,0,3,1,3,1,0,45,15,10.680883965541,7.01750614294126,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
5.64837546738446,0.0395,0.15,7.1497990709563,8.77955745588373,0.322,0.142,1,0,0,0,0,0,0.75,22,16,0,0,0,0,0,3,1,4,1,0,33,14,10.7218346400802,7.00033446027523,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
5.75681758453534,0.0389,0.16,7.14795258486217,8.9226582995244,0.295,0.108,0,0,0,0,1,0,0.65,7,5,0,0,1,0,0,3,1,0,0,0,34,4,9.84134615599828,6.30809844150953,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
4.79711198615904,0.0389,0.15,7.15926076978721,8.1605182474775,0.149,0.0595,0,1,0,0,0,1,0.43,22,9,0,5,16,3,0,6,1,3,1,0,72,8,8.93774393694244,6.51174532964473,12.5114079782193,0,0,0,0,0,0,0,0,1,1,0,0,0,0
4.87519732320115,0.0389,0.15,7.15029351557196,8.00636756765025,0.322,0.142,1,0,0,0,0,0,0.94,24,8,0,0,2,1,0,3,1,0,0,0,6,4,9.33529761138057,6.73815249459596,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
5.43433317046548,0.0384,0.22,7.19490971600883,8.85366542803745,0.1099,0.0495,1,0,0,0,0,0,0.38,29,8,0,0,0,0,1,3,1,1,0,1,69,5,9.14398687142616,6.52502965784346,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
5.92969552071035,0.0389,0.16,7.14795258486217,9.39266192877014,0.08,0.0155,0,0,0,0,1,1,0.17,17,3,0,0,0,0,0,6,1,1,0,0,82,1,7.72134861261795,3.63758615972639,13.0051124501532,0,0,0,0,0,0,0,0,1,1,0,0,0,0
5.75681758453534,0.0389,0.15,7.15926076978721,8.9226582995244,0.295,0.108,1,0,0,0,0,0,0.67,21,10,0,0,0,0,0,6,1,4,3,0,32,5,8.65294711239386,7.02553831463852,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
5.61371187756635,0.0389,0.15,7.15926076978721,8.77955745588373,0.295,0.108,1,0,0,0,0,1,0.54,18,10,0,0,1,0,0,3,1,8,1,0,55,8,9.57359363127504,6.63200177739563,11.6847504584199,0,0,0,0,0,0,1,0,0,0,0,1,0,0
6.12306282246473,0.0381,0.15,7.16490596866422,9.61580548008435,0.0599,0.013,1,0,0,0,0,1,0.2,25,13,0,0,0,0,1,4,1,2,0,1,82,8,9.33114107212189,6.22653666928747,12.3557332600846,0,0,0,0,0,0,0,0,1,0,1,0,0,0
4.40231933794164,0.0381,0.14,7.15611426736091,7.60090245954208,0.2699,0.108,0,0,0,0,1,0,0.79,4,3,0,0,0,0,0,2,1,1,0,0,69,3,5.98896141688986,3.58351893845611,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
5.43825320684555,0.0381,0.15,7.16490596866422,8.9226582995244,0.0655,0.0155,0,0,1,0,0,0,0.31,33,6,0,0,0,0,0,4,1,1,0,0,73,3,9.00023643416978,6.04025471127741,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
4.46705688385846,0.0381,0.15,7.16490596866422,7.60090245954208,0.3199,0.142,0,0,1,0,0,0,0.91,10,3,0,6,2,2,0,2,0,2,0,0,8,1,7.11963563801764,5.70044357339069,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
5.62862780105544,0.0381,0.15,7.16490596866422,8.85366542803745,0.2499,0.098,0,0,0,0,1,1,0.67,9,5,0,0,1,0,1,3,1,2,0,1,32,2,8.16650031915505,6.14846829591765,11.2493504678617,0,0,0,0,0,1,0,0,0,0,0,1,0,0
5.1507450020809,0.0384,0.23,7.19709101263224,8.29404964010203,0.3125,0.183,0,0,0,0,1,1,0.96,24,8,0,0,0,0,1,6,1,4,2,3,3,4,9.55492249156078,7.54750168281497,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0
4.10808308833261,0.0382,0.14,7.15722910684132,7.60090245954208,0.0599,0.013,1,0,0,0,0,1,0.25,47,14,0,0,0,0,0,3,1,5,0,1,70,10,9.99392223000734,6.23832462503951,11.8783807486587,0,0,0,0,0,0,0,0,1,0,1,0,0,0
